# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      179.9786228997     -157.6034882400
      189.9786228997     -157.6031503240
      199.9786228997     -157.6022124060
      209.9786228997     -157.6009002940
      219.9786228997     -157.5995505010
      229.9786228997     -157.5985308640
      239.9786228997     -157.5981348410
      249.9786228997     -157.5984795940
      259.9786228997     -157.5994635300
      269.9786228997     -157.6007507520
      279.9786228997     -157.6018636050
      289.9786228997     -157.6024151330
      299.9786228997     -157.6022751860
      309.9786228997     -157.6014492670
      319.9786228997     -157.6000232550
      329.9786228997     -157.5982312630
      339.9786228997     -157.5964489890
      349.9786228997     -157.5951160730
      359.9786228997     -157.5946141050
      369.9786228997     -157.5951118130
      379.9786228997     -157.5964421490
      389.9786228997     -157.5982233420
      399.9786228997     -157.6000160820
      409.9786228997     -157.6014442670
      419.9786228997     -157.6022730840
      429.9786228997     -157.6024160330
      439.9786228997     -157.6018673220
      449.9786228997     -157.6007562370
      459.9786228997     -157.5994686430
      469.9786228997     -157.5984824350
      479.9786228997     -157.5981342230
      489.9786228997     -157.5985275220
      499.9786228997     -157.5995452280
      509.9786228997     -157.6008942710
      519.9786228997     -157.6022074470
      529.9786228997     -157.6031475410
      539.9786228997     -157.6034884980
