# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0000000000      -78.8817210521
       10.0000000000      -78.8820199468
       20.0000000000      -78.8828204370
       30.0000000000      -78.8838811136
       40.0000000000      -78.8849076212
       50.0000000000      -78.8856397272
       60.0000000000      -78.8859038175
       70.0000000000      -78.8856397745
       80.0000000000      -78.8849077555
       90.0000000000      -78.8838809086
      100.0000000000      -78.8828198375
      110.0000000000      -78.8820195477
      120.0000000000      -78.8817211606
      130.0000000000      -78.8820197753
      140.0000000000      -78.8828210058
      150.0000000000      -78.8838832641
      160.0000000000      -78.8849099843
      170.0000000000      -78.8856404736
      180.0000000000      -78.8859036539
      190.0000000000      -78.8856406695
      200.0000000000      -78.8849099990
      210.0000000000      -78.8838832070
      220.0000000000      -78.8828209212
      230.0000000000      -78.8820197391
      240.0000000000      -78.8817211826
      250.0000000000      -78.8820196005
      260.0000000000      -78.8828199076
      270.0000000000      -78.8838809946
      280.0000000000      -78.8849078330
      290.0000000000      -78.8856398277
      300.0000000000      -78.8859038421
      310.0000000000      -78.8856397163
      320.0000000000      -78.8849075804
      330.0000000000      -78.8838810830
      340.0000000000      -78.8828203901
      350.0000000000      -78.8820199227
      360.0000000000      -78.8817212740
